Original_Date,Year,Month,Day,Site,Species,Count,Date
6/11/07,2007,June,11,PET,Dendrocygna bicolor,4,2007-06-11
6/11/07,2007,June,11,PET,Egretta thula,26,2007-06-11
6/11/07,2007,June,11,PET,Gallinula galeata,450,2007-06-11
6/11/07,2007,June,11,PET,Gallinago paraguaiae,2,2007-06-11
6/11/07,2007,June,11,PET,Himantopus mexicanus melanurus,4,2007-06-11
6/11/07,2007,June,11,PET,Jacana jacana,32,2007-06-11
6/11/07,2007,June,11,PET,Nannopterum brasilianum,6,2007-06-11
7/10/07,2007,July,10,Embu,Amazonetta brasiliensis,30,2007-07-10
7/10/07,2007,July,10,Embu,Ardea alba,1,2007-07-10
7/10/07,2007,July,10,Embu,Egretta thula,7,2007-07-10
7/10/07,2007,July,10,Embu,Gallinula galeata,1,2007-07-10
7/10/07,2007,July,10,Embu,Gallinago paraguaiae,20,2007-07-10
7/10/07,2007,July,10,Embu,Jacana jacana,10,2007-07-10
7/10/07,2007,July,10,Embu,Pardirallus nigricans,1,2007-07-10
7/10/07,2007,July,10,PET,Amazonetta brasiliensis,105,2007-07-10
7/10/07,2007,July,10,PET,Anas bahamensis,41,2007-07-10
7/10/07,2007,July,10,PET,Spatula versicolor,3,2007-07-10
7/10/07,2007,July,10,PET,Anhinga anhinga,1,2007-07-10
7/10/07,2007,July,10,PET,Ardea alba,6,2007-07-10
7/10/07,2007,July,10,PET,Dendrocygna bicolor,4,2007-07-10
7/10/07,2007,July,10,PET,Egretta thula,16,2007-07-10
7/10/07,2007,July,10,PET,Gallinula galeata,423,2007-07-10
7/10/07,2007,July,10,PET,Jacana jacana,8,2007-07-10
7/10/07,2007,July,10,PET,Nannopterum brasilianum,32,2007-07-10
7/10/07,2007,July,10,PET,Nycticorax nycticorax,1,2007-07-10
7/10/07,2007,July,10,PET,Pardirallus nigricans,1,2007-07-10
7/21/07,2007,July,21,PET,Amazonetta brasiliensis,85,2007-07-21
7/21/07,2007,July,21,PET,Anas bahamensis,53,2007-07-21
7/21/07,2007,July,21,PET,Spatula versicolor,2,2007-07-21
7/21/07,2007,July,21,PET,Anhinga anhinga,2,2007-07-21
7/21/07,2007,July,21,PET,Aramus guarauna,1,2007-07-21
7/21/07,2007,July,21,PET,Ardea alba,4,2007-07-21
7/21/07,2007,July,21,PET,Ardea cocoi,1,2007-07-21
7/21/07,2007,July,21,PET,Butorides striata,1,2007-07-21
7/21/07,2007,July,21,PET,Dendrocygna bicolor,9,2007-07-21
7/21/07,2007,July,21,PET,Gallinula galeata,245,2007-07-21
7/21/07,2007,July,21,PET,Jacana jacana,4,2007-07-21
7/21/07,2007,July,21,PET,Nannopterum brasilianum,17,2007-07-21
7/21/07,2007,July,21,PET,Pardirallus nigricans,2,2007-07-21
7/31/07,2007,July,31,Embu,Amazonetta brasiliensis,10,2007-07-31
7/31/07,2007,July,31,Embu,Ardea alba,2,2007-07-31
7/31/07,2007,July,31,Embu,Ardea cocoi,1,2007-07-31
7/31/07,2007,July,31,Embu,Ardea ibis,4,2007-07-31
7/31/07,2007,July,31,Embu,Egretta thula,4,2007-07-31
7/31/07,2007,July,31,Embu,Gallinula galeata,4,2007-07-31
7/31/07,2007,July,31,Embu,Gallinago paraguaiae,22,2007-07-31
7/31/07,2007,July,31,Embu,Himantopus mexicanus melanurus,100,2007-07-31
7/31/07,2007,July,31,Embu,Jacana jacana,9,2007-07-31
7/31/07,2007,July,31,Embu,Pardirallus nigricans,1,2007-07-31
7/31/07,2007,July,31,Embu,Tringa melanoleuca,5,2007-07-31
8/25/07,2007,August,25,Embu,Amazonetta brasiliensis,4,2007-08-25
8/25/07,2007,August,25,Embu,Ardea alba,2,2007-08-25
8/25/07,2007,August,25,Embu,Ardea ibis,4,2007-08-25
8/25/07,2007,August,25,Embu,Dendrocygna viduata,3,2007-08-25
8/25/07,2007,August,25,Embu,Egretta thula,2,2007-08-25
8/25/07,2007,August,25,Embu,Gallinula galeata,8,2007-08-25
8/25/07,2007,August,25,Embu,Gallinago paraguaiae,20,2007-08-25
8/25/07,2007,August,25,Embu,Himantopus mexicanus melanurus,2,2007-08-25
8/25/07,2007,August,25,Embu,Pardirallus nigricans,2,2007-08-25
8/25/07,2007,August,25,Embu,Tringa flavipes,25,2007-08-25
8/25/07,2007,August,25,Embu,Tringa melanoleuca,10,2007-08-25
8/25/07,2007,August,25,Embu,Tringa solitaria,3,2007-08-25
8/25/07,2007,August,25,PET,Amazonetta brasiliensis,84,2007-08-25
8/25/07,2007,August,25,PET,Anas bahamensis,36,2007-08-25
8/25/07,2007,August,25,PET,Spatula versicolor,5,2007-08-25
8/25/07,2007,August,25,PET,Anhinga anhinga,2,2007-08-25
8/25/07,2007,August,25,PET,Aramus guarauna,2,2007-08-25
8/25/07,2007,August,25,PET,Ardea alba,2,2007-08-25
8/25/07,2007,August,25,PET,Dendrocygna bicolor,16,2007-08-25
8/25/07,2007,August,25,PET,Egretta thula,10,2007-08-25
8/25/07,2007,August,25,PET,Gallinula galeata,703,2007-08-25
8/25/07,2007,August,25,PET,Himantopus mexicanus melanurus,1,2007-08-25
8/25/07,2007,August,25,PET,Jacana jacana,16,2007-08-25
8/25/07,2007,August,25,PET,Nannopterum brasilianum,15,2007-08-25
9/30/07,2007,September,30,Embu,Actitis macularius,12,2007-09-30
9/30/07,2007,September,30,Embu,Amazonetta brasiliensis,23,2007-09-30
9/30/07,2007,September,30,Embu,Anas bahamensis,2,2007-09-30
9/30/07,2007,September,30,Embu,Ardea alba,1,2007-09-30
9/30/07,2007,September,30,Embu,Ardea cocoi,1,2007-09-30
9/30/07,2007,September,30,Embu,Dendrocygna viduata,1,2007-09-30
9/30/07,2007,September,30,Embu,Egretta thula,2,2007-09-30
9/30/07,2007,September,30,Embu,Gallinula galeata,18,2007-09-30
9/30/07,2007,September,30,Embu,Gallinago paraguaiae,26,2007-09-30
